BRAND,CATEGORY,COLOR,CUSTOMER_ID,ORDER_COUNTRY,ORDER_DATE,ORDER_ID,ORDER_STATUS,PAYMENT_METHOD,PRODUCT_NAME,QUANTITY,SHIPPING_METHOD,SIZE,SUB-CATEGORY,UNIT_PRICE
Tumi,Men's Accessories,Black,2038,United States,2022-11-04,ORD-1217,Shipped,Cash on Delivery,Black Leather Backpack,2,Express,One Size,Backpacks,399.99
Mango,Women's Clothing,Navy,2362,United States,2022-11-04,ORD-390,Cancelled,PayPal,Velvet Jumpsuit,2,Standard,Size S,Jumpsuits & Rompers,178
Coach,Women's Clothing,White,2035,Saudi Arabia,2022-11-04,ORD-1369,Shipped,Credit/Debit Card,White Lace Blouse,2,Standard,Size M,Tops,598
Zara Kids,Kids Clothing,White,2021,Tunisia,2022-11-05,ORD-1426,Delivered,Credit/Debit Card,White Eyelet Skirt,2,Standard,Size 10,Skirts,72.99
Levi's,Women's Clothing,Dark Blue,2320,Brazil,2022-11-05,ORD-1047,Shipped,Credit/Debit Card,High-Waisted Skinny Jeans,8,Standard,Size 28,Bottoms,79.99
Nike Kids,Kids Clothing,Gray,1997,Denmark,2022-11-05,ORD-1414,Delivered,Credit/Debit Card,Gray Joggers,2,Standard,Size 12,Pants,34.99
Mango,Women's Clothing,Black,2056,Portugal,2022-11-06,ORD-1469,Shipped,Cash on Delivery,Wrap-Front Jumpsuit,2,Standard,Size 6,Jumpsuits,69.99
Zara Kids,Kids Clothing,Red and Black,2175,Switzerland,2022-11-06,ORD-304,Processing,Credit/Debit Card,Red Plaid Button-Up Shirt,6,Standard,Size 4,Tops,86.99
H&M Kids,Kids Clothing,Blue,2113,Mexico,2022-11-07,ORD-1431,Delivered,Credit/Debit Card,Blue Denim Skirt,3,Standard,Size 8,Skirts,32.99
J.Crew,Women's Clothing,Charcoal Grey,2119,Germany,2022-11-07,ORD-1527,Delivered,Cash on Delivery,Women's Wool Peacoat,2,Standard,Size M,Outerwear,249.99
Gap Kids,Kids Clothing,Pink,2168,Germany,2022-11-07,ORD-280,Processing,Credit/Debit Card,Pink Floral Dress,4,Express,Size 6,Dresses,24.99
Gap Kids,Kids Clothing,Red,2400,Norway,2022-11-07,ORD-982,Delivered,Credit/Debit Card,Red Graphic T-shirt,9,Standard,Size 8,Tops,14.99
Gap Kids,Kids Clothing,Red,2118,United States,2022-11-08,ORD-1402,Shipped,Credit/Debit Card,Red Graphic T-shirt,1,Standard,Size 8,Tops,14.99
Ralph Lauren,Men's Clothing,Navy,2045,Italy,2022-11-08,ORD-494,Delivered,Credit/Debit Card,Wool Peacoat,7,Standard,Size L,Jackets,199.99
Ralph Lauren Kids,Kids Clothing,Yellow and White,2045,Netherlands,2022-11-08,ORD-1299,Delivered,Credit/Debit Card,Yellow Floral Sundress,2,Standard,Size 12,Dresses,248.99
Nike Kids,Kids Clothing,Blue,2097,Morocco,2022-11-08,ORD-710,Shipped,Cash on Delivery,Blue Hoodie,5,Express,Size 10,Tops,39.99
Levi's,Women's Clothing,Dark Blue,2014,Japan,2022-11-08,ORD-1467,Shipped,Cash on Delivery,High-Waisted Skinny Jeans,3,Standard,Size 28,Bottoms,79.99
Zara Kids,Kids Clothing,Red and Black,2250,Mexico,2022-11-09,ORD-724,Shipped,Cash on Delivery,Red Plaid Button-Up Shirt,3,Express,Size 4,Tops,86.99
Gap Kids,Kids Clothing,Pink,2362,Greece,2022-11-09,ORD-560,Shipped,Credit/Debit Card,Pink Floral Dress,9,Standard,Size 6,Dresses,24.99
Adidas Kids,Kids Clothing,Pink,2244,Germany,2022-11-09,ORD-877,Cancelled,PayPal,Pink Ruffle Skirt,1,Standard,Size 6,Skirts,29.99
Nike,Men's Clothing,Red,2056,Mexico,2022-11-10,ORD-1524,Shipped,Cash on Delivery,Men's Hooded Windbreaker,1,Standard,Size M,Jackets,79.99
Hermès,Accessories,Blue/White,2119,Denmark,2022-11-10,ORD-1377,Shipped,Credit/Debit Card,Silk Scarf,3,Standard,One Size,Scarves,895
Ralph Lauren Kids,Kids Clothing,Yellow and White,2115,United States,2022-11-10,ORD-1159,Delivered,Credit/Debit Card,Yellow Floral Sundress,3,Standard,Size 12,Dresses,248.99
Barbour,Men's Clothing,Navy,2020,Canada,2022-11-10,ORD-1526,Shipped,Cash on Delivery,Men's Quilted Jacket,2,Standard,Size L,Jackets,299.99
Mango,Women's Clothing,Ivory,2066,Brazil,2022-11-11,ORD-1053,Shipped,Credit/Debit Card,Ruffle-Trimmed Blouse,9,Standard,Size M,Tops,39.99
J.Crew,Men's Clothing,Blue/White,2245,Saudi Arabia,2022-11-11,ORD-903,Cancelled,PayPal,Striped Button-Up Shirt,8,Standard,Size XL,Tops,59.99
Coach,Men's Clothing,Grey,2014,Portugal,2022-11-12,ORD-1174,Shipped,Cash on Delivery,Grey Turtleneck Sweater,2,Standard,Size L,Sweaters,129.99
Mango,Men's Clothing,Red/Blue,2236,Mexico,2022-11-12,ORD-912,Cancelled,PayPal,Checkered Button-Down Shirt,9,Standard,Size L,Tops,49.99
Reebok,Men's Shoes,White,2107,Morocco,2022-11-12,ORD-1470,Shipped,Cash on Delivery,Classic Leather Sneakers,2,Standard,Size 11,Athletic Shoes,79.99
Zara,Women's Clothing,Black,2313,Brazil,2022-11-13,ORD-355,Processing,Credit/Debit Card,A-Line Mini Skirt,9,Standard,Size XS,Skirts,59.99
Mango,Women's Clothing,Pink,2173,Portugal,2022-11-13,ORD-185,Delivered,Credit/Debit Card,Pink Silk Blouse,6,Standard,Size XS,Tops,199.99
Madewell,Women's Clothing,Navy/White,2425,Denmark,2022-11-13,ORD-387,Cancelled,PayPal,Striped Sweater,7,Standard,Size XS,Sweaters,98
Nike Kids,Kids Clothing,Purple,2080,Germany,2022-11-13,ORD-1545,Delivered,Credit/Debit Card,Purple Leggings,2,Standard,Size 7,Bottoms,16.99
Zara Kids,Kids Clothing,Black,2186,United Arab Emirates,2022-11-14,ORD-582,Shipped,Credit/Debit Card,Black Denim Shorts,8,Standard,Size 8,Bottoms,69.99
Ralph Lauren Kids,Kids Clothing,Yellow,2223,Denmark,2022-11-14,ORD-293,Processing,Credit/Debit Card,Yellow Polo Shirt,7,Standard,Size 7,Tops,149.99
H&M Kids,Kids Clothing,Green,2295,Italy,2022-11-14,ORD-851,Processing,Credit/Debit Card,Green Camo Pants,4,Standard,Size 5,Pants,24.99
Mango,Women's Clothing,Yellow,2216,Morocco,2022-11-15,ORD-329,Processing,Credit/Debit Card,Yellow Sundress,5,Standard,Size M,Dresses,129.99
Ralph Lauren,Men's Accessories,Black,2054,France,2022-11-15,ORD-1484,Shipped,Cash on Delivery,Leather Briefcase,2,Standard,One Size,Briefcases,399.99
Canada Goose,Men's Clothing,Green,2122,Switzerland,2022-11-15,ORD-1491,Shipped,Cash on Delivery,Green Parka,2,Standard,Size L,Outerwear,699.99
Mango,Women's Clothing,Red,2144,Morocco,2022-11-15,ORD-1355,Shipped,Credit/Debit Card,Red Puffer Jacket,2,Standard,Size M,Outerwear,249.99
Mango,Women's Clothing,Black,2171,Greece,2022-11-15,ORD-969,Delivered,Credit/Debit Card,Women's Leather Moto Jacket,6,Standard,Size S,Jackets,199.99
Coach,Accessories,Gray,2054,Netherlands,2022-11-16,ORD-533,Delivered,Credit/Debit Card,Wool Fedora Hat,7,Standard,Size M,Hats,195
Cole Haan,Men's Shoes,Brown,2011,Hong Kong,2022-11-16,ORD-1182,Shipped,Cash on Delivery,Leather Oxford Shoes,3,Standard,Size 10.5,Dress Shoes,149.99
AllSaints,Men's Clothing,Black,2225,Italy,2022-11-17,ORD-600,Delivered,Credit/Debit Card,Black Leather Jacket,10,Standard,Size M,Jackets,499.99
H&M,Men's Clothing,Gray,2004,Portugal,2022-11-17,ORD-1081,Shipped,Credit/Debit Card,Gray Pullover Sweater,6,Standard,Size L,Sweaters,129
Burberry,Men's Clothing,Black,2061,United Arab Emirates,2022-11-17,ORD-1536,Delivered,Cash on Delivery,Men's Hooded Parka,2,Standard,Size L,Jackets,599.99
Adidas Kids,Kids Clothing,Blue,2148,Spain,2022-11-17,ORD-999,Delivered,Credit/Debit Card,Blue Denim Shorts,6,Standard,Size 4T,Shorts,19.99
Mango,Women's Clothing,Navy,2231,United Arab Emirates,2022-11-18,ORD-950,Cancelled,Credit/Debit Card,Velvet Jumpsuit,2,Standard,Size S,Jumpsuits & Rompers,178
Gap Kids,Kids Clothing,Red,2239,Hong Kong,2022-11-18,ORD-702,Shipped,Cash on Delivery,Red Graphic T-shirt,2,Express,Size 8,Tops,14.99
Suede Co.,Women's Clothing,Brown,2224,Tunisia,2022-11-18,ORD-279,Processing,Credit/Debit Card,Women's Leather Biker Jacket,8,Express,Size S,Jackets,399.99
Zara,Women's Clothing,Blue,2042,Egypt,2022-11-18,ORD-339,Processing,Credit/Debit Card,Blue Floral Dress,4,Standard,Size S,Dresses,79.99
Hermès,Accessories,Blue/White,2245,United States,2022-11-18,ORD-1097,Shipped,Credit/Debit Card,Silk Scarf,8,Standard,One Size,Scarves,895
Mango,Women's Clothing,Black,2085,Portugal,2022-11-19,ORD-1189,Shipped,Cash on Delivery,Wrap-Front Jumpsuit,2,Express,Size 6,Jumpsuits,69.99
H&M,Men's Clothing,Brown,2307,Japan,2022-11-19,ORD-242,Shipped,Cash on Delivery,Brown Leather Loafers,7,Express,Size 10,Shoes,149.99
Nike,Men's Clothing,Grey,2219,Canada,2022-11-19,ORD-933,Cancelled,PayPal,Grey Sweatpants,8,Standard,Size M,Sweatpants,49.99
Mango,Women's Clothing,Navy,2203,Hong Kong,2022-11-20,ORD-1090,Shipped,Credit/Debit Card,Velvet Jumpsuit,3,Standard,Size S,Jumpsuits & Rompers,178
J.Crew,Women's Clothing,Charcoal Grey,2315,Japan,2022-11-20,ORD-967,Delivered,Credit/Debit Card,Women's Wool Peacoat,10,Standard,Size M,Outerwear,249.99
Adidas Kids,Kids Clothing,Blue,2265,Saudi Arabia,2022-11-20,ORD-299,Processing,Credit/Debit Card,Blue Denim Shorts,7,Standard,Size 4T,Shorts,19.99
AllSaints,Men's Clothing,Black,2187,Saudi Arabia,2022-11-20,ORD-740,Shipped,Cash on Delivery,Black Leather Jacket,9,Express,Size M,Jackets,499.99
Nike,Men's Clothing,Red,2047,India,2022-11-21,ORD-544,Delivered,Credit/Debit Card,Men's Hooded Windbreaker,9,Standard,Size M,Jackets,79.99
Ralph Lauren,Men's Accessories,Black,2227,Mexico,2022-11-21,ORD-644,Delivered,Credit/Debit Card,Leather Briefcase,4,Standard,One Size,Briefcases,399.99
Nike Kids,Kids Clothing,Green Camouflage,2247,Germany,2022-11-21,ORD-173,Delivered,Credit/Debit Card,Green Camo Hoodie,5,Standard,Size M,Sweatshirts,21.99
Clarks,Men's Shoes,Taupe,2061,South Africa,2022-11-21,ORD-348,Processing,Credit/Debit Card,Suede Desert Boots,4,Standard,Size 9,Casual Shoes,99.99
Coach,Men's Clothing,Black,2037,France,2022-11-21,ORD-1379,Shipped,Credit/Debit Card,Black Leather Jacket,2,Standard,Size M,Jackets,899.99
Ralph Lauren Kids,Kids Clothing,Navy Blue,2409,Italy,2022-11-22,ORD-867,Cancelled,PayPal,Navy Blue Polo Shirt,3,Standard,Size 6,Tops,39.99
Hugo Boss,Men's Clothing,Navy Blue,2005,India,2022-11-22,ORD-884,Cancelled,PayPal,Navy Blue Suit,4,Standard,Size 42R,Suits,799.99
Zara,Men's Clothing,Olive Green,2322,Greece,2022-11-22,ORD-400,Cancelled,PayPal,Men's Bomber Jacket,5,Standard,Size L,Jackets,89.99
Mango,Women's Clothing,Red,2426,Saudi Arabia,2022-11-22,ORD-795,Processing,Credit/Debit Card,Red Puffer Jacket,3,Standard,Size M,Outerwear,249.99
Coach,Women's Clothing,White,2089,Morocco,2022-11-23,ORD-1229,Processing,Cash on Delivery,White Lace Blouse,2,Express,Size M,Tops,598
Tommy Hilfiger,Men's Clothing,Green,2444,Saudi Arabia,2022-11-23,ORD-766,Shipped,Cash on Delivery,Quilted Bomber Jacket,3,Express,Size M,Jackets,89.99
Mango,Accessories,Silver,2202,Denmark,2022-11-23,ORD-115,Delivered,Credit/Debit Card,Silver Stud Earrings,6,Standard,One Size,Jewelry,65
Brooks Brothers,Men's Clothing,Blue,2008,Greece,2022-11-23,ORD-1499,Shipped,Cash on Delivery,Blue Dress Shirt,2,Standard,Size L,Dress Shirts,89.99
H&M,Men's Clothing,Gray,2006,Germany,2022-11-23,ORD-1501,Shipped,Cash on Delivery,Gray Pullover Sweater,2,Standard,Size L,Sweaters,129
Ralph Lauren,Men's Accessories,Black,2330,Netherlands,2022-11-24,ORD-504,Delivered,Credit/Debit Card,Leather Briefcase,5,Standard,One Size,Briefcases,399.99
Coach,Women's Accessories,Black,2146,India,2022-11-24,ORD-1325,Delivered,Credit/Debit Card,Leather Crossbody Bag,3,Standard,One Size,Bags,199.99
Hugo Boss,Men's Clothing,Navy Blue,2099,Spain,2022-11-24,ORD-1584,Delivered,Credit/Debit Card,Navy Blue Suit,2,Standard,Size 42R,Suits,799.99
Adidas Kids,Kids Clothing,Pink,2350,Denmark,2022-11-24,ORD-1017,Delivered,Credit/Debit Card,Pink Ruffle Skirt,7,Standard,Size 6,Skirts,29.99
Nike,Men's Clothing,Grey,2028,Mexico,2022-11-24,ORD-1493,Shipped,Cash on Delivery,Grey Sweatpants,3,Standard,Size M,Sweatpants,49.99
Nike,Men's Clothing,Red,2014,Hong Kong,2022-11-24,ORD-1244,Processing,Cash on Delivery,Men's Hooded Windbreaker,3,Express,Size M,Jackets,79.99
Gap Kids,Kids Clothing,White,2003,Denmark,2022-11-25,ORD-1543,Delivered,Credit/Debit Card,White Lace Dress,2,Standard,Size 5,Dresses,39.99
Madewell,Women's Clothing,Blue,2042,Spain,2022-11-25,ORD-1033,Delivered,Credit/Debit Card,Blue Denim Jacket,8,Standard,Size M,Jackets,99.99
H&M,Men's Clothing,Khaki,2010,South Africa,2022-11-27,ORD-380,Cancelled,PayPal,Slim-Fit Khaki Pants,2,Standard,Size 32x32,Pants,98
Madewell,Women's Clothing,Navy/White,2225,Japan,2022-11-28,ORD-947,Cancelled,Credit/Debit Card,Striped Sweater,7,Standard,Size XS,Sweaters,98
Adidas Kids,Kids Clothing,Pink,2037,Canada,2022-11-28,ORD-1570,Delivered,Credit/Debit Card,Pink Ruffle-Sleeve Top,2,Standard,Size 3T,Tops,18.99
Coach,Men's Clothing,Navy Blue,2177,Norway,2022-11-29,ORD-196,Shipped,Cash on Delivery,Navy Blue Chinos,6,Express,Size 34x32,Pants,98.99
Suede Co.,Women's Clothing,Brown,1998,Greece,2022-11-29,ORD-419,Cancelled,PayPal,Women's Leather Biker Jacket,3,Standard,Size S,Jackets,399.99
Banana Republic,Men's Clothing,White,2079,Greece,2022-11-29,ORD-1301,Delivered,Credit/Debit Card,White Button-up Shirt,3,Standard,Size L,Shirts,69.99
Gap Kids,Kids Clothing,Yellow,2436,Brazil,2022-11-30,ORD-305,Processing,Credit/Debit Card,Yellow Graphic T-Shirt,3,Standard,Size XS,Tops,14.99
Zara,Men's Clothing,Brown,2078,Greece,2022-11-30,ORD-694,Shipped,Cash on Delivery,Men's Leather Moto Jacket,7,Standard,Size XL,Jackets,599.99
Zara Kids,Kids Clothing,Red and Black,2410,Morocco,2022-11-30,ORD-444,Cancelled,Credit/Debit Card,Red Plaid Button-Up Shirt,2,Standard,Size 4,Tops,86.99
Zara Kids,Kids Clothing,White,2032,United States,2022-11-30,ORD-446,Cancelled,Credit/Debit Card,White Eyelet Skirt,5,Standard,Size 10,Skirts,72.99
Zara Kids,Kids Clothing,Purple and White,2012,Canada,2022-12-01,ORD-1428,Delivered,Credit/Debit Card,Purple Floral Romper,3,Standard,Size 2,Rompers,94.99
Tommy Hilfiger,Men's Clothing,Green,2079,Germany,2022-12-01,ORD-1046,Shipped,Credit/Debit Card,Quilted Bomber Jacket,1,Standard,Size M,Jackets,89.99
Adida Kids,Kids Clothing,Blue and White,2090,United Kingdom,2022-12-01,ORD-1420,Delivered,Credit/Debit Card,Blue Striped T-Shirt,2,Standard,Size 2T,Tops,12.99
Topshop,Women's Clothing,Red,2397,Germany,2022-12-01,ORD-462,Delivered,Credit/Debit Card,Red Wrap Skirt,10,Standard,Size M,Skirts,59.99
Nike Kids,Kids Clothing,Green,2298,United States,2022-12-02,ORD-303,Processing,Credit/Debit Card,Green Cargo Pants,9,Standard,Size 12,Bottoms,19.99
Levi's,Men's Clothing,Blue,2420,Norway,2022-12-02,ORD-822,Processing,Credit/Debit Card,Men's Denim Jacket,7,Standard,Size XL,Jackets,119.99
Zara,Women's Clothing,Black,2443,Morocco,2022-12-02,ORD-775,Shipped,Credit/Debit Card,A-Line Mini Skirt,2,Express,Size XS,Skirts,59.99
Topshop,Women's Clothing,Red,2226,Saudi Arabia,2022-12-03,ORD-322,Processing,Credit/Debit Card,Red Wrap Skirt,6,Standard,Size M,Skirts,59.99
Reebok,Men's Shoes,White,2073,Canada,2022-12-04,ORD-490,Delivered,Credit/Debit Card,Classic Leather Sneakers,2,Standard,Size 11,Athletic Shoes,79.99
Burberry,Men's Clothing,Black,2179,Greece,2022-12-04,ORD-836,Processing,Credit/Debit Card,Men's Hooded Parka,4,Standard,Size L,Jackets,599.99
Dr. Martens,Men's Shoes,Black,2443,Morocco,2022-12-05,ORD-752,Shipped,Cash on Delivery,Black Leather Chelsea Boots,10,Express,Size 10,Boots,169.99
Common Projects,Men's Shoes,Black,2170,Italy,2022-12-05,ORD-652,Delivered,Credit/Debit Card,Black Leather Sneakers,2,Standard,Size 10,Sneakers,399.99
Madewell,Women's Clothing,Black,2115,Italy,2022-12-05,ORD-1368,Shipped,Credit/Debit Card,High-Rise Skinny Jeans,3,Standard,Size 28,Jeans,128
Brooks Brothers,Men's Shoes,Brown,2297,Portugal,2022-12-05,ORD-501,Delivered,Credit/Debit Card,Brown Leather Loafers,5,Standard,Size 10,Loafers,199.99
Ray-Ban,Unisex Accessories,Gold/Brown,2004,Morocco,2022-12-07,ORD-1196,Shipped,Cash on Delivery,Classic Aviator Sunglasses,3,Express,One Size,Eyewear,149.99
Levi's,Women's Clothing,Black,2080,Denmark,2022-12-07,ORD-607,Delivered,Credit/Debit Card,Black Skinny Jeans,10,Standard,Size 28,Jeans,69.99
Adidas Kids,Kids Clothing,Green,2021,Greece,2022-12-07,ORD-998,Delivered,Credit/Debit Card,Green Hooded Sweatshirt,3,Standard,Size 14,Tops,44.99
Nike Kids,Kids Clothing,Green,2179,Italy,2022-12-08,ORD-863,Processing,PayPal,Green Cargo Pants,3,Standard,Size 12,Bottoms,19.99
H&M,Men's Clothing,Khaki,2017,South Africa,2022-12-08,ORD-660,Delivered,Credit/Debit Card,Slim-Fit Khaki Pants,5,Standard,Size 32x32,Pants,98
Barbour,Men's Clothing,Navy,2084,United Kingdom,2022-12-08,ORD-1386,Shipped,Credit/Debit Card,Men's Quilted Jacket,1,Standard,Size L,Jackets,299.99
Zara Kids,Kids Clothing,Grey,2333,Netherlands,2022-12-08,ORD-878,Cancelled,PayPal,Grey Hoodie,4,Standard,Size L,Sweatshirts,39.99
Gap Kids,Kids Clothing,Red,2128,Canada,2022-12-09,ORD-1272,Processing,Credit/Debit Card,Red Puffer Jacket,2,Standard,Size 14/16,Jackets,79.99
Coach,Women's Clothing,White,1997,Mexico,2022-12-09,ORD-1509,Shipped,Cash on Delivery,White Lace Blouse,2,Standard,Size M,Tops,598
Zara Kids,Kids Clothing,Purple and White,2064,India,2022-12-09,ORD-1568,Delivered,Credit/Debit Card,Purple Floral Romper,2,Standard,Size 2,Rompers,94.99
Zara,Men's Clothing,Olive Green,1993,France,2022-12-09,ORD-960,Delivered,Credit/Debit Card,Men's Bomber Jacket,8,Standard,Size L,Jackets,89.99
Brooks Brothers,Men's Clothing,Blue,2387,Netherlands,2022-12-09,ORD-659,Delivered,Credit/Debit Card,Blue Dress Shirt,10,Standard,Size L,Dress Shirts,89.99
H&M,Women's Clothing,Black,2197,Norway,2022-12-10,ORD-666,Delivered,Credit/Debit Card,Black Ankle Boots,9,Standard,Size 8,Shoes,129.95
Coach,Men's Clothing,Black,2004,Hong Kong,2022-12-10,ORD-1519,Shipped,Cash on Delivery,Black Leather Jacket,2,Standard,Size M,Jackets,899.99
Dr. Martens,Men's Shoes,Black,2102,Tunisia,2022-12-10,ORD-332,Processing,Credit/Debit Card,Black Leather Chelsea Boots,7,Standard,Size 10,Boots,169.99
J.Crew,Men's Clothing,Green,2306,Japan,2022-12-10,ORD-190,Shipped,Cash on Delivery,Green Cargo Pants,10,Standard,Size 32x32,Pants,89.99
Suede Co.,Women's Clothing,Brown,2057,Brazil,2022-12-11,ORD-1539,Delivered,Credit/Debit Card,Women's Leather Biker Jacket,2,Standard,Size S,Jackets,399.99
Adidas Kids,Kids Clothing,Pink,2322,Italy,2022-12-11,ORD-170,Delivered,Credit/Debit Card,Pink Ruffle-Sleeve Top,2,Standard,Size 3T,Tops,18.99
Levi's,Women's Clothing,Black,2091,India,2022-12-11,ORD-1027,Delivered,Credit/Debit Card,Black Skinny Jeans,4,Standard,Size 28,Jeans,69.99
Topshop,Women's Clothing,Burgundy,2318,Hong Kong,2022-12-11,ORD-693,Shipped,Cash on Delivery,Women's Faux Leather Jacket,8,Standard,Size M,Jackets,99.99
Madewell,Women's Clothing,Black,2008,Germany,2022-12-12,ORD-948,Cancelled,Credit/Debit Card,High-Rise Skinny Jeans,5,Standard,Size 28,Jeans,128
H&M Kids,Kids Clothing,Blue,2211,France,2022-12-13,ORD-844,Processing,Credit/Debit Card,Blue Plaid Shirt,8,Standard,Size 12,Tops,29.99
Zara,Women's Clothing,Beige,2079,United States,2022-12-13,ORD-1044,Delivered,Credit/Debit Card,Cropped Wide-Leg Pants,7,Standard,Size L,Bottoms,49.99
Forever 21,Women's Clothing,Red,2245,Brazil,2022-12-13,ORD-335,Processing,Credit/Debit Card,Red Plaid Skirt,4,Standard,Size S,Skirts,39.99
Equipment,Women's Clothing,Ivory,2146,Tunisia,2022-12-13,ORD-368,Cancelled,PayPal,Ivory Silk Blouse,9,Standard,Size M,Blouses,249.99
Coach,Men's Clothing,Grey,2141,Italy,2022-12-13,ORD-194,Shipped,Cash on Delivery,Grey Turtleneck Sweater,2,Standard,Size L,Sweaters,129.99
H&M Kids,Kids Clothing,Orange,2078,Egypt,2022-12-14,ORD-988,Delivered,Credit/Debit Card,Orange Cargo Shorts,3,Standard,Size 8,Shorts,22.99
Brooks Brothers,Men's Clothing,Navy,2057,France,2022-12-14,ORD-220,Shipped,Cash on Delivery,Navy Blazer,8,Express,Size 40R,Blazers,399.99
Zara,Women's Clothing,Black,2010,Portugal,2022-12-14,ORD-1335,Delivered,Credit/Debit Card,A-Line Mini Skirt,2,Standard,Size XS,Skirts,59.99
Zara,Men's Clothing,Brown,2358,France,2022-12-14,ORD-274,Shipped,Credit/Debit Card,Men's Leather Moto Jacket,6,Express,Size XL,Jackets,599.99
H&M,Women's Clothing,Pink/Yellow,2049,China,2022-12-14,ORD-1199,Shipped,Cash on Delivery,Floral Print Sundress,2,Express,Size S,Dresses,39.99
H&M Kids,Kids Clothing,Gray,2257,Egypt,2022-12-14,ORD-427,Cancelled,PayPal,Gray Sweatshirt,9,Standard,Size 6,Tops,19.99
Coach,Men's Clothing,Navy Blue,2081,Germany,2022-12-15,ORD-896,Cancelled,PayPal,Navy Blue Chinos,3,Standard,Size 34x32,Pants,98.99
Clarks,Men's Shoes,Taupe,1995,France,2022-12-15,ORD-488,Delivered,Credit/Debit Card,Suede Desert Boots,4,Standard,Size 9,Casual Shoes,99.99
J.Crew,Women's Clothing,Charcoal Grey,2122,Saudi Arabia,2022-12-15,ORD-687,Delivered,Cash on Delivery,Women's Wool Peacoat,4,Standard,Size M,Outerwear,249.99
Coach,Women's Accessories,Black,2313,Denmark,2022-12-15,ORD-897,Cancelled,PayPal,Black Leather Crossbody Bag,7,Standard,One Size,Bags,249.99
Nike Kids,Kids Clothing,Purple,2219,United Kingdom,2022-12-16,ORD-285,Processing,Credit/Debit Card,Purple Leggings,9,Express,Size 7,Bottoms,16.99
Burberry,Women's Clothing,Beige,2254,Netherlands,2022-12-16,ORD-125,Delivered,Credit/Debit Card,Women's Trench Coat,2,Standard,Size XS,Outerwear,1299.99
Nike Kids,Kids Clothing,Blue,2002,Spain,2022-12-16,ORD-290,Processing,Credit/Debit Card,Blue Hoodie,2,Standard,Size 10,Tops,39.99
J.Crew,Men's Clothing,Green,2274,China,2022-12-16,ORD-330,Processing,Credit/Debit Card,Green Cargo Pants,1,Standard,Size 32x32,Pants,89.99
Madewell,Women's Clothing,Blue,2010,Hong Kong,2022-12-17,ORD-1313,Delivered,Credit/Debit Card,Blue Denim Jacket,3,Standard,Size M,Jackets,99.99
Zara,Men's Clothing,Green,2097,United Arab Emirates,2022-12-17,ORD-104,Delivered,Credit/Debit Card,Green Utility Jacket,9,Standard,Size XL,Jackets,129.99
J.Crew,Men's Clothing,Grey,2223,Portugal,2022-12-17,ORD-637,Delivered,Credit/Debit Card,V-Neck Cashmere Sweater,7,Standard,Size XL,Sweaters,119.99
Adidas,Women's Shoes,Grey,2034,Brazil,2022-12-18,ORD-1496,Shipped,Cash on Delivery,Grey Sneakers,2,Standard,Size 8,Sneakers,99.99
Adidas Kids,Kids Clothing,Grey,2223,Hong Kong,2022-12-18,ORD-589,Shipped,Credit/Debit Card,Grey Sweatpants,2,Standard,Size 5,Bottoms,24.99
Zara Kids,Kids Clothing,Black,2121,Japan,2022-12-18,ORD-442,Cancelled,PayPal,Black Denim Shorts,8,Standard,Size 8,Bottoms,69.99
Mango,Women's Clothing,Caramel,2082,United Arab Emirates,2022-12-18,ORD-1371,Shipped,Credit/Debit Card,Leather Tote Bag,3,Standard,One Size,Handbags,195
H&M,Men's Clothing,Brown,2056,Portugal,2022-12-19,ORD-942,Cancelled,PayPal,Brown Leather Loafers,1,Standard,Size 10,Shoes,149.99
Zara,Men's Clothing,Brown,2084,Saudi Arabia,2022-12-19,ORD-1394,Shipped,Credit/Debit Card,Men's Leather Moto Jacket,2,Standard,Size XL,Jackets,599.99
Zara,Women's Clothing,Black,2355,Morocco,2022-12-19,ORD-915,Cancelled,PayPal,A-Line Mini Skirt,7,Standard,Size XS,Skirts,59.99
Brooks Brothers,Men's Shoes,Brown,2336,United Arab Emirates,2022-12-19,ORD-221,Shipped,Cash on Delivery,Brown Leather Loafers,8,Express,Size 10,Loafers,199.99
Gap Kids,Kids Clothing,Yellow,2213,Portugal,2022-12-20,ORD-986,Delivered,Credit/Debit Card,Yellow Raincoat,1,Standard,Size 4,Jackets,49.99
Mango,Women's Accessories,Brown,2157,Japan,2022-12-20,ORD-378,Cancelled,PayPal,Brown Leather Gloves,5,Standard,Size M,Gloves,129.99
H&M Kids,Kids Clothing,Pink and Green,2102,Portugal,2022-12-21,ORD-1141,Delivered,Credit/Debit Card,Pink Floral Dress,1,Standard,Size 6,Dresses,24.99
H&M Kids,Kids Clothing,Green,2135,Greece,2022-12-21,ORD-1411,Delivered,Credit/Debit Card,Green Camo Pants,2,Standard,Size 5,Pants,24.99
Gap Kids,Kids Clothing,Yellow,2119,United Kingdom,2022-12-21,ORD-426,Cancelled,PayPal,Yellow Raincoat,1,Standard,Size 4,Jackets,49.99
Zara Kids,Kids Clothing,White,2167,Germany,2022-12-21,ORD-306,Processing,Credit/Debit Card,White Eyelet Skirt,6,Standard,Size 10,Skirts,72.99
Burberry,Men's Clothing,Black,2154,Netherlands,2022-12-21,ORD-276,Shipped,Credit/Debit Card,Men's Hooded Parka,5,Express,Size L,Jackets,599.99
